x,y,z
-746.211613185,262.622320572,-188.850748039
-441.930301717,1601.29990086,662.914656359
2006.81754766,-711.000095798,-116.552743887
-309.103784987,1770.41856113,803.885402267
-562.653265851,499.745940428,185.996185258
619.04705522,-1093.02651579,-719.554430758
26.694409389,66.1169510039,27.5438610017
1680.77793097,1447.49245112,296.580587111
242.673617664,-388.403105315,-543.611569671
1424.5339151,1383.96724898,278.85004299
763.815995594,2064.7672945,106.738137715
404.282306877,978.947966819,-51.5522874625
123.256777972,-661.111411221,-334.213136763
252.667059979,6.29454536276,-173.814397544
-455.693842122,-1229.63039556,-130.629380792
-488.476147,-334.405341489,-542.341652235
-313.761287081,687.343870228,287.694563932
630.137247422,1341.8081869,-311.605175508
255.66714803,-420.316415618,-336.913757007
-1226.37519511,225.502574465,-169.302819576
-831.989982178,791.842969671,-23.3784881986
-1009.33461617,930.470579981,498.360811914
2313.33325088,-610.607741132,-327.7397974
-330.675353902,440.230183926,285.097931276
363.91081592,-1412.40673511,-219.524324928
709.351876993,-1020.07202647,-836.28080927
-643.704166597,943.771664642,77.5661705286
-335.095882881,653.299685865,297.563106198
-1028.26475171,474.548720477,-171.539049867
-1142.92036394,741.078612193,471.660634896
-410.475615211,-817.240299571,-678.224265937
630.137247422,1341.8081869,-311.605175508
-804.792239834,259.011859528,-425.77071838
